Month,Hour,Total Load Room 1 (W),Total Load Room 2 (W),Total Load (W)
January,1,0.11,0.07,0.18
January,2,0.11,0.06,0.17
January,3,0.10,0.06,0.16
January,4,0.10,0.05,0.15
January,5,0.10,0.05,0.15
January,6,0.10,0.05,0.15
January,7,0.10,0.05,0.15
January,8,0.11,0.06,0.17
January,9,0.12,0.08,0.20
January,10,0.14,0.09,0.23
January,11,0.15,0.10,0.25
January,12,0.16,0.11,0.27
January,13,0.17,0.12,0.29
January,14,0.17,0.13,0.30
January,15,0.17,0.13,0.30
January,16,0.17,0.13,0.29
January,17,0.16,0.12,0.28
January,18,0.15,0.11,0.26
January,19,0.15,0.10,0.25
January,20,0.14,0.10,0.24
January,21,0.14,0.09,0.23
January,22,0.13,0.08,0.22
January,23,0.13,0.08,0.20
January,24,0.12,0.07,0.19
February,1,0.13,0.09,0.22
February,2,0.13,0.08,0.21
February,3,0.12,0.08,0.20
February,4,0.12,0.08,0.20
February,5,0.12,0.07,0.19
February,6,0.12,0.07,0.19
February,7,0.12,0.07,0.19
February,8,0.13,0.08,0.21
February,9,0.14,0.09,0.23
February,10,0.15,0.11,0.26
February,11,0.16,0.12,0.28
February,12,0.17,0.13,0.30
February,13,0.18,0.14,0.32
February,14,0.19,0.14,0.33
February,15,0.19,0.14,0.33
February,16,0.19,0.14,0.33
February,17,0.18,0.14,0.32
February,18,0.17,0.12,0.30
February,19,0.16,0.12,0.28
February,20,0.16,0.11,0.27
February,21,0.15,0.11,0.26
February,22,0.15,0.10,0.25
February,23,0.14,0.10,0.24
February,24,0.14,0.09,0.23
March,1,0.15,0.11,0.26
March,2,0.15,0.10,0.25
March,3,0.14,0.10,0.24
March,4,0.14,0.10,0.24
March,5,0.14,0.09,0.23
March,6,0.14,0.09,0.23
March,7,0.14,0.09,0.23
March,8,0.15,0.11,0.25
March,9,0.16,0.12,0.27
March,10,0.17,0.13,0.30
March,11,0.18,0.14,0.32
March,12,0.19,0.15,0.34
March,13,0.20,0.16,0.36
March,14,0.20,0.16,0.37
March,15,0.21,0.16,0.37
March,16,0.20,0.16,0.36
March,17,0.20,0.15,0.35
March,18,0.19,0.14,0.33
March,19,0.18,0.13,0.32
March,20,0.18,0.13,0.31
March,21,0.17,0.12,0.30
March,22,0.17,0.12,0.29
March,23,0.16,0.12,0.28
March,24,0.16,0.11,0.27
April,1,0.16,0.11,0.27
April,2,0.15,0.10,0.26
April,3,0.15,0.10,0.25
April,4,0.15,0.10,0.25
April,5,0.15,0.10,0.24
April,6,0.14,0.10,0.24
April,7,0.15,0.10,0.25
April,8,0.16,0.11,0.27
April,9,0.17,0.12,0.29
April,10,0.18,0.13,0.31
April,11,0.19,0.14,0.33
April,12,0.19,0.15,0.34
April,13,0.20,0.16,0.36
April,14,0.20,0.16,0.36
April,15,0.20,0.16,0.37
April,16,0.20,0.16,0.36
April,17,0.20,0.15,0.35
April,18,0.19,0.14,0.34
April,19,0.18,0.14,0.32
April,20,0.18,0.13,0.31
April,21,0.17,0.13,0.30
April,22,0.17,0.12,0.29
April,23,0.16,0.12,0.28
April,24,0.16,0.11,0.27
May,1,0.15,0.11,0.26
May,2,0.15,0.10,0.25
May,3,0.15,0.10,0.25
May,4,0.14,0.10,0.24
May,5,0.14,0.10,0.24
May,6,0.14,0.10,0.24
May,7,0.15,0.10,0.25
May,8,0.16,0.11,0.27
May,9,0.16,0.12,0.28
May,10,0.17,0.13,0.30
May,11,0.18,0.14,0.32
May,12,0.19,0.14,0.33
May,13,0.19,0.15,0.34
May,14,0.20,0.15,0.35
May,15,0.20,0.15,0.35
May,16,0.20,0.15,0.35
May,17,0.19,0.15,0.34
May,18,0.19,0.14,0.32
May,19,0.18,0.13,0.31
May,20,0.17,0.13,0.30
May,21,0.17,0.12,0.29
May,22,0.16,0.12,0.28
May,23,0.16,0.11,0.27
May,24,0.16,0.11,0.27
June,1,0.14,0.09,0.23
June,2,0.13,0.09,0.22
June,3,0.13,0.09,0.22
June,4,0.13,0.09,0.22
June,5,0.13,0.08,0.21
June,6,0.13,0.08,0.21
June,7,0.13,0.09,0.22
June,8,0.14,0.10,0.24
June,9,0.15,0.10,0.25
June,10,0.16,0.11,0.27
June,11,0.16,0.12,0.28
June,12,0.17,0.12,0.29
June,13,0.17,0.13,0.30
June,14,0.18,0.13,0.31
June,15,0.18,0.13,0.31
June,16,0.18,0.13,0.31
June,17,0.17,0.13,0.30
June,18,0.17,0.12,0.29
June,19,0.16,0.12,0.28
June,20,0.16,0.11,0.27
June,21,0.15,0.11,0.26
June,22,0.15,0.10,0.25
June,23,0.15,0.10,0.24
June,24,0.14,0.09,0.24
July,1,0.13,0.09,0.22
July,2,0.13,0.08,0.21
July,3,0.13,0.08,0.21
July,4,0.12,0.08,0.20
July,5,0.12,0.08,0.20
July,6,0.12,0.08,0.20
July,7,0.13,0.08,0.21
July,8,0.13,0.09,0.22
July,9,0.14,0.10,0.24
July,10,0.15,0.10,0.25
July,11,0.15,0.11,0.26
July,12,0.16,0.11,0.27
July,13,0.16,0.12,0.28
July,14,0.16,0.12,0.28
July,15,0.16,0.12,0.28
July,16,0.16,0.12,0.28
July,17,0.16,0.12,0.28
July,18,0.16,0.11,0.27
July,19,0.15,0.11,0.26
July,20,0.15,0.10,0.25
July,21,0.15,0.10,0.24
July,22,0.14,0.09,0.24
July,23,0.14,0.09,0.23
July,24,0.13,0.09,0.22
August,1,0.13,0.08,0.21
August,2,0.12,0.08,0.20
August,3,0.12,0.08,0.20
August,4,0.12,0.07,0.19
August,5,0.12,0.07,0.19
August,6,0.12,0.07,0.19
August,7,0.12,0.08,0.20
August,8,0.13,0.08,0.21
August,9,0.13,0.09,0.23
August,10,0.14,0.10,0.24
August,11,0.15,0.10,0.25
August,12,0.15,0.11,0.26
August,13,0.15,0.11,0.27
August,14,0.16,0.11,0.27
August,15,0.16,0.11,0.27
August,16,0.16,0.11,0.27
August,17,0.15,0.11,0.26
August,18,0.15,0.10,0.25
August,19,0.15,0.10,0.24
August,20,0.14,0.10,0.24
August,21,0.14,0.09,0.23
August,22,0.14,0.09,0.22
August,23,0.13,0.09,0.22
August,24,0.13,0.08,0.21
September,1,0.13,0.08,0.21
September,2,0.12,0.08,0.20
September,3,0.12,0.08,0.20
September,4,0.12,0.07,0.19
September,5,0.12,0.07,0.19
September,6,0.12,0.07,0.19
September,7,0.12,0.08,0.20
September,8,0.13,0.09,0.22
September,9,0.14,0.09,0.23
September,10,0.14,0.10,0.24
September,11,0.15,0.11,0.26
September,12,0.16,0.11,0.27
September,13,0.16,0.12,0.27
September,14,0.16,0.12,0.28
September,15,0.16,0.12,0.28
September,16,0.16,0.12,0.28
September,17,0.16,0.11,0.27
September,18,0.15,0.11,0.26
September,19,0.15,0.10,0.25
September,20,0.14,0.10,0.24
September,21,0.14,0.09,0.24
September,22,0.14,0.09,0.23
September,23,0.13,0.09,0.22
September,24,0.13,0.08,0.21
October,1,0.14,0.09,0.23
October,2,0.13,0.09,0.22
October,3,0.13,0.09,0.22
October,4,0.13,0.08,0.21
October,5,0.13,0.08,0.21
October,6,0.13,0.08,0.21
October,7,0.13,0.09,0.22
October,8,0.14,0.10,0.24
October,9,0.15,0.11,0.26
October,10,0.16,0.12,0.27
October,11,0.17,0.12,0.29
October,12,0.17,0.13,0.31
October,13,0.18,0.14,0.32
October,14,0.18,0.14,0.32
October,15,0.18,0.14,0.32
October,16,0.18,0.14,0.32
October,17,0.18,0.13,0.31
October,18,0.17,0.12,0.29
October,19,0.16,0.12,0.28
October,20,0.16,0.11,0.27
October,21,0.16,0.11,0.26
October,22,0.15,0.10,0.26
October,23,0.15,0.10,0.25
October,24,0.14,0.09,0.24
November,1,0.13,0.08,0.21
November,2,0.12,0.08,0.20
November,3,0.12,0.07,0.19
November,4,0.12,0.07,0.19
November,5,0.11,0.07,0.18
November,6,0.11,0.07,0.18
November,7,0.12,0.07,0.18
November,8,0.13,0.09,0.22
November,9,0.14,0.10,0.24
November,10,0.16,0.11,0.27
November,11,0.17,0.12,0.29
November,12,0.18,0.13,0.31
November,13,0.18,0.14,0.32
November,14,0.19,0.14,0.33
November,15,0.19,0.14,0.33
November,16,0.18,0.14,0.32
November,17,0.17,0.13,0.30
November,18,0.16,0.12,0.28
November,19,0.16,0.11,0.27
November,20,0.15,0.11,0.26
November,21,0.15,0.10,0.25
November,22,0.14,0.10,0.24
November,23,0.14,0.09,0.23
November,24,0.13,0.09,0.22
December,1,0.12,0.07,0.19
December,2,0.11,0.07,0.18
December,3,0.11,0.06,0.17
December,4,0.11,0.06,0.17
December,5,0.10,0.06,0.16
December,6,0.10,0.06,0.16
December,7,0.10,0.06,0.16
December,8,0.12,0.07,0.19
December,9,0.13,0.09,0.22
December,10,0.15,0.10,0.25
December,11,0.16,0.11,0.27
December,12,0.17,0.12,0.29
December,13,0.17,0.13,0.30
December,14,0.18,0.13,0.31
December,15,0.18,0.13,0.31
December,16,0.17,0.13,0.30
December,17,0.17,0.12,0.29
December,18,0.16,0.11,0.27
December,19,0.15,0.11,0.26
December,20,0.15,0.10,0.25
December,21,0.14,0.09,0.24
December,22,0.14,0.09,0.22
December,23,0.13,0.08,0.21
December,24,0.12,0.08,0.20
